中国人|ちゅうごくじん 
李|り 
森|もり 
学生|がくせい 
林|はやし 
日本人|にほんじん 
JC企画|ジエーツーきかく 
社員|しやいん
小野|おの
会社員|かいしやいん
吉田|よしだ 
秀|しゅう 
麗|れい
願|ねが
緑|みどり
本|ほん
何|なん
傘|かさ
日本語|にほんご
家族|かぞく
写真|しゃしん
方|かた
母|はは
５２|ごじゅうに
歳|さい
土産|みやげ
名産品|めいさんひん
中国|ちゅうごく
売|う
場|ば
階|かい
1|いつ
2|に
郵便局|ゆうびんきょく
銀行|ぎんこう
5，８00|ごせんはつピャく
円|えん
隣|となり
喫|きつ
茶|さ
店|てん
建物|たてもの
病院|びょういん
屋|や
東京|とうきょう
地図|ちず
500|ごひゃく
食堂|しょくどう
7|なな
店員|てんいん
部|へ
机|つくえ
猫|ねこ
上|うえ
売店|ばいてん
駅|えき
外|そと
庭|にわ
箱|はこ
中|なか
時計|とけい
眼鏡|めがね
部屋|へや
家|いえ
横浜|よこはま
犬|いぬ
会社|かいしゃ
地下鉄|ちかてつ
J|ジェー
R|アール
一人|ひとり
暮|ぐ
両親|りょうしん
名古屋|なごや
兄弟|きょうだい
大阪|おおさか
妹|いもうと
近|ちか
今|いま
4|よ
時|じ
起|お
先週|せんしゅう
休|やす
昨日|きのう
働|はたら
毎日|まいにち
寝|ね
11|じゅういち
30|さんじゅう
9|く
6|ろく
試験|しけん
始|はじ
来週|らいしゅう
木曜日|もくようび
歓迎会|かんげいかい
君|くん
10|じゅう
15|じゅうご
遅刻|ちこく
課長|かちょう
今朝|けさ
毎朝|まいあさ
北京|ペキン
支社|ししゃ
8|はち
午前|ごぜん
午後|ごご
5|ご
土曜日|どようび
日曜日|にちようび
来月|らいげつ
行|い
先月|せんげつ
来|き
友達|ともだち
帰|かえ
広島|ひろしま
新幹線|しんかんせん
10月|じゅうがつ
自転車|じてんしゃ
美術館|びじゅうつかん
上海|シャハイ
飛行機|ひこうき
何時|なんじ
11時半|じゅういちじはん
電車|でんしゃ
渋谷|しぶや
歩|ある
12時|じゅうにじ
銀座|ぎんざ
夜中|よなか
2時|にじ
疲|つか
様|さま
飲|の
図書館|としょかん
勉強|べんきょう
粥|かゆ
食|た
新聞|しんぶん
読|よ
鉛筆|えんぴつ
昼|ひる
飯|はん
弁当|べんとう
買|か
今日|きょう
失礼|しつれい
手紙|てがみ
書|か
辞書|じしょ
明日|あした
長嶋|ながしま
会|あ
誕生日|たんじょうび
送|おく
航空便|こうくうびん
映画|えいが
電話|でんわ
表|ひょう
件|けん
夕方|ゆうがた
一度|いちど
分|わ
届|とど
箱根|はこね
写真集|しゃしんしゅう
前|まえ
